timestamp,op,tool,mean_s,stddev_s,min_s,max_s,status
20260622T083929Z,list,den-list,0.00511511342,0.0007147524316537395,0.00416925882,0.00648438482,ok
20260622T083929Z,list,brew-list,0.03071990922,0.0020211612655548186,0.027616966819999998,0.03405330082,ok
20260622T083929Z,info,den-info,0.13137638580000002,0.0016322659454106022,0.1283932653,0.1342003903,ok
20260622T083929Z,info,brew-info,0.7791824399,0.014908779997820792,0.7564576813000001,0.8060624733000001,ok
20260622T083929Z,search,den-search,0.1348813802,0.0013188742455522387,0.13222906410000002,0.1370349391,ok
20260622T083929Z,search,brew-search,0.8223570508000002,0.013944192876391578,0.7976539381,0.8399552721,ok
20260622T083929Z,install,den-install,0.13339159834,0.0014699079210839998,0.13185751534,0.13561005634,ok
20260622T083929Z,install,brew-install,3.10310714898,0.07939970765277736,3.0307552157799997,3.2295675497799996,ok
20260622T083929Z,upgrade,den-upgrade,0.13234032903999998,0.001544247108380724,0.12976944134,0.13437898334,ok
20260622T083929Z,upgrade,brew-upgrade,0.76500427094,0.013081864831980617,0.7511268458400001,0.7928183878400001,ok
